Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
1757 ; 144 ; 8.92746 ; 663.957 ; 
1785 ; 172 ; 10.6634 ; 659.692 ; 
1774 ; 161 ; 9.9814 ; 667.379 ; 
1774 ; 161 ; 9.9814 ; 674.066 ; 
1802 ; 189 ; 11.7173 ; 659.644 ; 
1780 ; 167 ; 10.3534 ; 655.032 ; 
1780 ; 167 ; 10.3534 ; 656.281 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 595.531
Œredni wspó³czynnik b³êdu [j]:  ; 162.6
Œredni wspó³czynnik b³êdu [%]:  ; 10.0806
Optymalny koszt:  ; 1613

Rozwi¹zania dla beta = 8
1721 ; 108 ; 6.6956 ; 668.972 ; 
1710 ; 97 ; 6.01364 ; 668.277 ; 
1710 ; 97 ; 6.01364 ; 659.105 ; 
1757 ; 144 ; 8.92746 ; 662.466 ; 
1757 ; 144 ; 8.92746 ; 650.676 ; 
1757 ; 144 ; 8.92746 ; 654.546 ; 
1757 ; 144 ; 8.92746 ; 661.977 ; 
1757 ; 144 ; 8.92746 ; 661.377 ; 
1757 ; 144 ; 8.92746 ; 659.324 ; 
1794 ; 181 ; 11.2213 ; 671.774 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 594.672
Œredni wspó³czynnik b³êdu [j]:  ; 134.7
Œredni wspó³czynnik b³êdu [%]:  ; 8.3509
Optymalny koszt:  ; 1613

Rozwi¹zania dla beta = 9
1757 ; 144 ; 8.92746 ; 672.242 ; 
1757 ; 144 ; 8.92746 ; 661.892 ; 
1757 ; 144 ; 8.92746 ; 655.51 ; 
1731 ; 118 ; 7.31556 ; 654.473 ; 
1731 ; 118 ; 7.31556 ; 645.671 ; 
1739 ; 126 ; 7.81153 ; 663.305 ; 
1757 ; 144 ; 8.92746 ; 668.646 ; 
1757 ; 144 ; 8.92746 ; 665.016 ; 
1777 ; 164 ; 10.1674 ; 657.544 ; 
1784 ; 171 ; 10.6014 ; 672.252 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 594.43
Œredni wspó³czynnik b³êdu [j]:  ; 141.7
Œredni wspó³czynnik b³êdu [%]:  ; 8.78487
Optymalny koszt:  ; 1613

Nazwa pliku: Data/ft53.atsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 6905
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
9290 ; 2385 ; 34.5402 ; 1197.29 ; 
9236 ; 2331 ; 33.7581 ; 1154.19 ; 
9674 ; 2769 ; 40.1014 ; 1201.01 ; 
9377 ; 2472 ; 35.8001 ; 1179.51 ; 
9079 ; 2174 ; 31.4844 ; 1187.97 ; 
9158 ; 2253 ; 32.6285 ; 1192.81 ; 
9482 ; 2577 ; 37.3208 ; 1206.86 ; 
9564 ; 2659 ; 38.5083 ; 1184.32 ; 
9173 ; 2268 ; 32.8458 ; 1207.36 ; 
